項次,業者名稱(市招),縣市,行政區,業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註
15386,饗麻南港有限公司(饗麻饗辣PLUSLALAPORT南港店),臺北市,南港區,臺北市南港區經貿二路131號6樓,-,114/7/24,GHP,合格,-,,
15409,碳霸小吃店(胖肚肚燒肉),臺北市,中山區,臺北市中山區建國北路一段74號,-,114/7/31,GHP,合格,-,,
15411,眾勝實業有限公司(燒肉眾精緻炭火燒肉台北大安店),臺北市,大安區,臺北市大安區大安路一段51巷7號1樓,-,114/7/15,GHP,合格,-,,
15413,勁銘食品有限公司(串燒殿敦南店),臺北市,大安區,臺北市大安區敦化南路一段160巷24號,-,114/7/14,GHP,合格,-,,
15415,東鋪股份有限公司(潮肉壽喜燒敦南店),臺北市,大安區,臺北市大安區敦化南路一段160巷17號,-,114/7/14,GHP,合格,-,,
15417,金滿旺餐飲股份有限公司(糧倉1號頂級麻辣鴛鴦鍋松江店),臺北市,中山區,臺北市中山區松江路185號2樓、2樓之1,-,114/7/15,GHP,合格,-,,
15419,怡康國際有限公司(阿豬媽韓式烤肉吃到飽信義店),臺北市,信義區,臺北市信義區松壽路12號5樓,-,114/7/28,GHP,合格,-,,
15421,眾興實業有限公司(燒肉眾燒肉吃到飽),臺北市,萬華區,臺北市萬華區成都路66號2、3樓,-,114/7/18,GHP,合格,-,,
15423,品瑜實業有限公司(燒肉眾),臺北市,中山區,臺北市中山區吉林路181號1樓,-,114/7/31,GHP,合格,-,,
15425,復大股份有限公司(馬辣頂級麻辣鴛鴦火鍋復興店),臺北市,大安區,臺北市大安區復興南路一段152至162號4樓,-,114/7/17,GHP,合格,-,,
15427,立安呈有限公司(夯肉殿),臺北市,萬華區,臺北市萬華區漢中街42號3樓之2,-,114/9/3,GHP,合格,-,,
15429,上上鑫有限公司(胖肚肚燒肉),臺北市,松山區,臺北市松山區八德路四段108號2樓,-,114/9/4,GHP,合格,-,,
15458,碳霸小吃店(胖肚肚燒肉),臺北市,中山區,臺北市中山區建國北路一段74號,-,114/7/14,標示,合格,-,,
15460,眾勝實業有限公司(燒肉眾精緻炭火燒肉台北大安店),臺北市,大安區,臺北市大安區大安路一段51巷7號1樓,-,114/7/14,標示,合格,-,,
15462,勁銘食品有限公司(串燒殿敦南店),臺北市,大安區,臺北市大安區敦化南路一段160巷24號,-,114/7/14,標示,合格,-,,
15464,東鋪股份有限公司(潮肉壽喜燒敦南店),臺北市,大安區,臺北市大安區敦化南路一段160巷17號,-,114/7/14,標示,合格,-,,
15466,金滿旺餐飲股份有限公司(糧倉1號頂級麻辣鴛鴦鍋松江店),臺北市,中山區,臺北市中山區松江路185號2樓、2樓之1,-,114/7/15,標示,合格,-,,
15468,怡康國際有限公司(阿豬媽韓式烤肉吃到飽信義店),臺北市,信義區,臺北市信義區松壽路12號5樓,-,114/7/15,標示,合格,-,,
