city,hospName,hospAddress,latitude,longitude,hospTel,type
臺北市,大直診所,臺北市中山區北安路595巷2弄2號,25.082041,121.548329,02-25332339,登革熱疫苗
臺北市,永育樂群診所,臺北市中山區樂群二路210之2號,25.079518,121.559291,02-85012268,登革熱疫苗
臺北市,固亷診所,臺北市中山區北安路595巷1號B1,25.0823032,121.5485929,02-25323036,登革熱疫苗
臺北市,高固亷診所,臺北市中山區北安路595巷1號B1,25.0823032,121.5485929,02-25323036,登革熱疫苗
臺北市,啟新診所,臺北市中山區建國北路3段42號5樓,25.0643259,121.5365733,02-25070723,登革熱疫苗
臺北市,國防部醫務組診所,臺北市中山區北安路409號,25.082685,121.5419957,02-85099756,登革熱疫苗
臺北市,惟亷診所,臺北市中山區北安路595巷1號B1,25.0823032,121.5485929,02-25323036,登革熱疫苗
臺北市,晨昕診所,臺北市中山區復興北路350號3樓,25.0600123,121.5439355,02-25181268,登革熱疫苗
臺北市,莊宇龍診所,臺北市中山區北安路637號,25.08373,121.549022,02-25331255,登革熱疫苗
臺北市,德美診所,臺北市中山區北安路596號1樓,25.0815673,121.5488519,02-25326618,登革熱疫苗
臺北市,龍江小兒科診所,臺北市中山區龍江路181-1號1樓,25.0552012,121.5407533,02-25152433,登革熱疫苗
臺北市,力安妥診所,臺北市中正區衡陽路30號1樓、2樓,25.042184,121.512708,02-23882833,登革熱疫苗
臺北市,元泰診所,臺北市中正區羅斯福路3段2號2樓,25.0233624,121.5247132,02-23680599,登革熱疫苗
臺北市,日明耀診所,臺北市中正區重慶南路1段66之1號2樓之1,25.0468814,121.5134147,02-23611190,登革熱疫苗
臺北市,怡和診所,臺北市中正區汀州路2段212號,25.022361,121.523719,02-23625100,登革熱疫苗
臺北市,家禾診所,臺北市中正區三元街217號1樓、2樓,25.0276724,121.513391,02-23331368,登革熱疫苗
臺北市,健康101診所,臺北市中正區牯嶺街97號1樓,25.0258949,121.5190675,02-23645143,登革熱疫苗
臺北市,銘人診所,臺北市中正區博愛路9號3樓,25.0459389,121.511443,02-77557566,登革熱疫苗
臺北市,劉瑞聰診所,臺北市中正區汀州路1段194號,25.0269395,121.511146,02-23038125,登革熱疫苗
臺北市,建順診所,臺北市大同區甘州街51號,25.0596329,121.5128815,02-25573250,登革熱疫苗
臺北市,悅昇診所,臺北市大同區錦西街50之1號,25.060238,121.5199715,02-25502664,登革熱疫苗
臺北市,鈞生診所,臺北市大同區甘州街28號,25.0588267,121.5126782,02-25570048,登革熱疫苗
臺北市,澤康診所,臺北市大同區重慶北路三段71號,25.0663565,121.5139452,02-25960922,登革熱疫苗
臺北市,羅源彰診所,臺北市大同區長安西路137號,25.051407,121.515074,02-25552500,登革熱疫苗
臺北市,永康診所,臺北市萬華區桂林路47號,25.038052,121.504274,02-23123455,登革熱疫苗
臺北市,名家耳鼻喉科診所,臺北市萬華區西藏路107-2號1樓,25.0294985,121.5034524,02-23036513,登革熱疫苗
臺北市,快樂兒童診所,臺北市萬華區寶興街121號,25.025229,121.494803,02-23328610,登革熱疫苗
臺北市,青年診所,臺北市萬華區中華路2段424號,25.027526,121.506144,02-23032450,登革熱疫苗
臺北市,瑞生診所,臺北市萬華區西園路2段250號,25.028026,121.494795,02-23012788,登革熱疫苗
臺北市,漢宗小兒科診所,臺北市萬華區中華路2段434號1樓,25.027153,121.506505,02-23039022,登革熱疫苗
臺北市,盧漢隆耳鼻喉科診所,臺北市萬華區環河南路2段197號,25.032268,121.491752,02-23361363,登革熱疫苗
臺北市,定安診所,臺北市文山區景興路165號,24.993463,121.544663,02-29323755,登革熱疫苗
臺北市,林正豐診所,臺北市文山區保儀路25號,24.988126,121.56871,02-29363665,登革熱疫苗
臺北市,欣民診所,臺北市文山區保儀路37號,24.987908,121.568697,02-29375115,登革熱疫苗
臺北市,洪佑承小兒專科診所,臺北市文山區興隆路4段64之2號1樓,24.985025,121.561366,02-29364708,登革熱疫苗
臺北市,葉洪小兒科診所,臺北市文山區興隆路3段202號,24.997752,121.559057,02-22300055,登革熱疫苗
臺北市,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路2段117號,24.9876981,121.576481,02-82377441,登革熱疫苗
臺北市,德安小兒科診所,臺北市文山區興隆路4段6-10號1樓,24.9895679,121.5595706,02-29395299,登革熱疫苗
臺北市,日新診所,臺北市內湖區成功路5段446號,25.074805,121.607118,02-26342743,登革熱疫苗
臺北市,永育醫療大湖診所,臺北市內湖區成功路4段366號,25.0848303,121.6004361,02-27906002,登革熱疫苗
臺北市,永育醫療康樂診所,臺北市內湖區康樂街82號,25.070294,121.618846,02-26308800,登革熱疫苗
臺北市,高峰診所,臺北市內湖區內湖路2段39號1樓,25.0790083,121.5799405,02-26591888,登革熱疫苗
臺北市,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟,25.079388,121.567826,02-87972121,登革熱疫苗
臺北市,康育診所,臺北市內湖區成功路3段189號2樓,25.0805298,121.5910013,02-27909134,登革熱疫苗
臺北市,湖欣診所,臺北市內湖區成功路4段327號,25.0845096,121.598994,02-27918350,登革熱疫苗
臺北市,新明診所,臺北市內湖區新明路386號,25.054814,121.580235,02-87921282,登革熱疫苗
臺北市,葫洲診所,臺北市內湖區康寧路3段35、37號,25.066286,121.611232,02-26306606,登革熱疫苗
臺北市,德威診所,臺北市內湖區內湖路1段667巷1號1樓,25.0800142,121.575196,02-27978033,登革熱疫苗
臺北市,永育醫療福德診所,臺北市南港區福德街320號,25.039477,121.5878487,02-27850700,登革熱疫苗
臺北市,李文珍小兒科診所,臺北市南港區研究院路2段74號,25.04557,121.615108,02-26511871,登革熱疫苗
臺北市,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路1段360號1樓,25.054528,121.606758,02-27868756,登革熱疫苗
臺北市,存德小兒科診所,臺北市士林區文林路460號,25.095638,121.524559,02-28342567,登革熱疫苗
臺北市,何小兒科診所,臺北市士林區福港街176號,25.0866141,121.5176786,02-28827401,登革熱疫苗
臺北市,佩佩婦幼診所,臺北市士林區中山北路6段182號,25.1075469,121.5252705,02-28386262,登革熱疫苗
臺北市,科安診所,臺北市士林區社中街116號,25.0898456,121.5104206,02-28110699,登革熱疫苗
臺北市,高醫師家庭醫學科診所,臺北市士林區中山北路7段17號2樓,25.119121,121.53049,02-28744545,登革熱疫苗
臺北市,張虔熙小兒科診所,臺北市士林區中山北路6段282號,25.1101049,121.5256499,02-28361368,登革熱疫苗
臺北市,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號1樓,25.0928395,121.519827,02-28836268,登革熱疫苗
臺北市,德泰耳鼻喉科診所,臺北市士林區通河街42-1號,25.080459,121.52143,02-28851570,登革熱疫苗
臺北市,樹爸爸親子診所,臺北市士林區德行東路286號,25.1099779,121.5360119,02-28381838,登革熱疫苗
臺北市,蕭雨青小兒科診所,臺北市士林區延平北路5段292號,25.0856717,121.5097429,02-28126415,登革熱疫苗
臺北市,蘇慧卿診所,臺北市士林區大南路274號,25.088747,121.519682,02-28829955,登革熱疫苗
臺北市,台北欣安耳鼻喉科診所,臺北市北投區石牌路1段152號,25.114276,121.51316,02-28210501,登革熱疫苗
臺北市,何叔芳小兒科診所,臺北市北投區石牌路2段90巷12號,25.115445,121.515848,02-28206886,登革熱疫苗
臺北市,長宏診所,臺北市北投區中央北路2段121號,25.1371223,121.4944886,02-28967372,登革熱疫苗
臺北市,昱德聯合診所,臺北市北投區光明路102號,25.133095,121.501217,02-28975050,登革熱疫苗
臺北市,洪耳鼻喉科診所,臺北市北投區中央南路1段43號,25.132204,121.501448,02-28928769,登革熱疫苗
臺北市,祐民聯合診所,臺北市北投區中央南路1段207號,25.128337,121.501341,02-28951301,登革熱疫苗
臺北市,張參雄診所,臺北市北投區光明路166號2樓、166-1號、166-2號2、3樓,25.135,121.502641,02-28926555,登革熱疫苗
臺北市,陳献明小兒科診所,臺北市北投區中央南路1段69號1樓,25.1151759,121.515018,02-28928950,登革熱疫苗
臺北市,萬泰診所,臺北市北投區中央北路2段52號1樓,25.137172,121.495088,02-28930728,登革熱疫苗
新北市,弘安診所,新北市八里區舊城里中山路二段215號1樓,25.149373,121.403673,86303263,登革熱疫苗
新北市,施世明診所,新北市八里區訊塘里華峰一街18號,25.146811,121.399292,86302193,登革熱疫苗
新北市,文心診所,新北市八里區訊塘里中山路二段392號,25.147884,121.400675,26191537,登革熱疫苗
新北市,八里區衛生所,新北市八里區舊城里舊城路16號,25.147095,121.40006,26101902,登革熱疫苗
新北市,台加診所,新北市八里區頂罟里中山路二段310號1樓,25.150055,121.404435,86302275,登革熱疫苗
新北市,誠泰診所,新北市八里區埤頭里中山路一段231號,25.157539,121.411033,26108205,登革熱疫苗
新北市,三芝彭小兒科診所,新北市三芝區埔頭里中山路一段59號1樓,25.257218,121.500763,26369622,登革熱疫苗
新北市,曾明診所,新北市三芝區埔坪里中正路一段6號,25.259073,121.502802,26369942,登革熱疫苗
新北市,三芝區衛生所,新北市三芝區埔頭里中山路一段12號,25.258407,121.500753,26362007,登革熱疫苗
新北市,華貞診所,新北市三重區三安里三和路三段80號,25.071697,121.494617,29716626,登革熱疫苗
新北市,惠心婦幼診所(重陽院區),新北市三重區光田里重陽路1段138-144號 1-4樓,25.060732,121.486583,29810568,登革熱疫苗
新北市,惠心婦幼診所(成功院區),新北市三重區福德里成功路173號,25.052755,121.486048,29781998,登革熱疫苗
新北市,京辰耳鼻喉科診所,新北市三重區慈祐里五華街92號1樓,25.081921,121.493291,29876226,登革熱疫苗
新北市,健福診所,新北市三重區慈祐里溪尾街171號,25.080276,121.488916,89851660,登革熱疫苗
新北市,集美診所,新北市三重區光明里集美街174之1號,25.05325,121.490427,29775177,登革熱疫苗
新北市,重新診所,新北市三重區仁德里重新路二段150號,25.061495,121.495617,29765868,登革熱疫苗
新北市,龍華診所,新北市三重區慈祐里五華街100號,25.082488,121.492635,29883500,登革熱疫苗
新北市,三重祥安診所,新北市三重區永清里三和路四段374號,25.078745,121.48266,22808558,登革熱疫苗
新北市,益安診所,新北市三重區正義里正義北路152號,25.06624,121.496547,89828775,登革熱疫苗
新北市,正興診所,新北市三重區中央里正義北路113號,25.065788,121.496981,29861235,登革熱疫苗
新北市,保順聯合診所,新北市三重區文化里正義北路5號,25.062591,121.497894,29855630,登革熱疫苗
新北市,采新婦幼診所,新北市三重區正義里正義北路86號,25.064558,121.497078,89853888,登革熱疫苗
新北市,禾順診所,新北市三重區錦通里文化北路3號1樓,25.0633,121.499874,29780089,登革熱疫苗
新北市,新北市立聯合醫院 (三重院區),新北市三重區中山里新北大道一段3號,25.060869,121.49084,29829111,登革熱疫苗
